CESU Name,Federal Agency,Fiscal Year,Award Number,Local Number,Partner,Location,Project Title,Type,Discipline,Initial Amount,Added Amount,Total Amount,Partner Principal Investigator First Name,Partner Principal Investigator Last Name,Federal Tech Rep First Name,Federal Tech Rep Last Name,Federal Project Lead First Name,Federal Project Lead Last Name,Students Involved,Sensitive Data,Description,Notes,Received Date,Reviewed Date,Approved Date,Start Date,End Date,Project Status,Awarding Office,Modification Status,Modification Number,Modification Type,Modification Approved Date,Deliverables Received,Files
Colorado Plateau (COPL),Bureau of Land Management,2001,jsa001014-002,,Museum of Northern Arizona,GSENM,"Patterns of Biodiversity, Extinction & Origination of Mesozoic Vertebrates in Grand Staircase-Escalante NM",Research,Natural,"$56,616.00","$139,850.68","$196,466.68",David D.,Gillette-Colbert,,,,,No,No,,the original award is Not correct. The field represents the final award amount. TS 9-10-07. The current funding amount does Not match mod 2 because mod 2 does Not include MNA's contribution to the project.,,,,6/4/01,6/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001015-001,,Utah State University,San Juan County| UT,"Factors Affecting Gunnison Sage Grouse Populations in San Juan County, Utah",Technical Assistance,Natural,"$35,000.00","$171,443.00","$206,443.00",Terry,Messmer,,,,,No,No,,apparently there were No matches with the mods. TS. Link to final report uploaded.,,,,5/24/01,4/1/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001015-002,,Utah State University,,Greater Sage-Grouse Habitat Greater Sage Grouse Use and Energy Development Impacts to Sage Grouse Habitat,Technical Assistance,Natural,"$81,305.00",$0.00,"$81,305.00",Richard,Etchberger,,,,,No,No,,,,,,8/20/01,11/1/02,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001015-003,,Utah State University,Vernal Field Office Boundary,"Inventory of Raptors other than FerrugiNous Hawks, within the Vernal Field Office Boundary",Technical Assistance,Natural,"$54,211.00","$38,048.00","$92,259.00",Richard,Etchberger,,,,,No,No,,,,,,8/20/01,11/1/02,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001015-004,,Utah State University,Book Cliffs of Eastern Utah,Mule Deer Habitat Delineation for the Book Cliffs of Eastern Utah,Research,Natural,"$89,700.00","$38,018.00","$127,718.00",Richard,Etchberger,,,,,No,No,,,,,,8/20/01,11/1/02,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001015-005,,Utah State University,South Fork of Snake River,South Fork of the Snake River Recreational Use Analysis,Technical Assistance,Natural,"$15,000.00",$0.00,"$15,000.00",Dale,Blahna,,,,,No,No,,,,,,8/29/01,9/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA990018-004,,Northern Arizona University,,Grand Canyon-Parashant NM Human Impact Monitoring: Rapid Site Inventory - Road Project,Technical Assistance,Cultural,"$38,000.00","$95,272.00","$133,272.00",Pam,Foti,,,,,No,No,,"the original amount for funding on this record was $19,027? It was changed on sept 19-07 by TS to reflect what is in the hard files. This record is incorrect - asked cindy judge for whole file",,,,11/7/01,11/15/01,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA990018-005,,Northern Arizona University,Colorado Canyon NCA,Colorado Canyon NCA Visitor Study - Phase II,Technical Assistance,Cultural,"$58,000.00",$0.00,"$58,000.00",Martha,Lee,,,,,No,No,,,,,,4/13/01,1/31/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,jsa001013-003,,Colorado State University,,California Desert Predictive Soil Modeling Pilot Project,Technical Assistance,Interdisciplinary,"$45,000.00","$125,261.48","$170,261.48",Peter,Scull,,,,,No,No,,"original award amounts updated to reflect what is actually on file. 9-14-07. TS. The original award amount according to BLM's draft report is 57,365.52. The project is complete and apparently papers are being completed. 9-27-07",,,,8/28/01,9/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA001015-006,,Utah State University,,Energy Development Impacts to FerrugiNous Hawks,Research,Natural,"$35,000.00","$275,926.00","$310,926.00",Michael,CoNover,,,,,No,No,,,,,,1/9/02,12/31/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA001015-007,,Utah State University,Gunnison Basin,Gunnison Basin Archaeological Research Project,Educational,Natural,"$5,000.00","$142,182.00","$147,182.00",Bonnie,Pitbaldo,,,,,No,No,,,,,,9/6/02,9/30/07,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,jsa001015-008,,Utah State University,WY Public Lands,Accelerating Soil Survey of Wyoming Public Lands: Developing Protocols & Methodology for Inventory and Data Quality Assessment,Technical Assistance,Natural,"$66,309.00","$38,741.00","$105,050.00",Janis,Boettinger,,,,,No,No,,"mod three missing - first 2 mods Not filled in because info is Not pertinent -adminstrative. This project is completed, report in review.",,,,9/15/02,5/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA001015-009,,Utah State University,,Manual of Grasses for North America,Technical Assistance,Natural,"$20,000.00",$0.00,"$20,000.00",Mary,Barkworth,,,,,Yes,No,,,,,,9/17/02,12/31/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA001015-010,,Utah State University,GRBA,Using Cattle as Fuel Reduction and Seeding Agents in Annual or Perennial Grass Stands in the Great Basin,Technical Assistance,Natural,$0.00,"$38,050.00","$38,050.00",Christopher,Call,,,,,No,No,,This project never got started due to extended drought in west desert of Utah - significant impact on cheatgrass,,,,9/20/02,6/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA001015-011,,Utah State University,,Symbiotic Relationships Between Soil Mycorrhizae & Vegetative Communities in Correlation to Enhanced Success of Restoration & Rehabilitation Efforts,Educational,Natural,"$28,750.00","$165,877.00","$194,627.00",Eugene,Schupp,,,,,No,No,,"project apparently completed, still No report. TS",,,,10/1/02,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA990018-006,,Northern Arizona University,GSENM,Creating Sustainable Recreation Environments: Backcountry Human Impact Monitoring,Research,Cultural,"$11,262.00",$0.00,"$11,262.00",Pam,Foti,,,,,No,No,,,,,,3/1/02,2/28/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,JSA990018-007,,Northern Arizona University,NENM,Creating Sustainable Recreation Environments: Protecting Site Values in Motorized Dominant Recreation Areas,Research,Cultural,"$10,563.00",$0.00,"$10,563.00",Pam,Foti,,,,,No,No,,"the original award amount was changed from 9,187?  by TS 9-17-07 to reflect what was in the files",,,,8/26/02,8/28/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2002,jsa990018-008,,Northern Arizona University,BLM Lands on CP,Inventory of Past Pinyon-Juniper Management Treatments on BLM Lands on the Colorado Plateau,Research,Interdisciplinary,"$37,000.00","$247,430.00","$284,430.00",Neil,Cobb,,,,,No,No,,"The funding may be slightly off since in mod 2 they did Not specify if NAU's match was the total match or the additional match. TS. According to BLM the total funding for the project was 266,000",,,,9/11/02,4/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001013-005,,Colorado State University,,Colorado Plant Information Network II (PIN II),Technical Assistance,Interdisciplinary,"$18,000.00","$38,746.65","$56,746.65",Mark,Simmons,,,,,No,No,,This project had 2 fields. The second was erased 9-13-07 by TS. This field was updated with information from that field. Mod 2 is Not present in hard files. Only mod 3 is present. Not sure what original awards were so the values for original award total and current funding may be off. TS. Final report was a user guide.,,,,8/25/03,3/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,jsa001014-003,,Museum of Northern Arizona,,EcoNomic Analysis of BLM Proposed Grazing Regulation Changes,Technical Assistance,Natural,"$87,960.00","$42,459.00","$130,419.00",Sonny,Kuhr,,,,,No,No,,,,,,7/15/03,9/29/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-012,,Utah State University,GSENM,Front Country Visitor Use Study for GSENM,Research,Social,"$32,603.00","$97,598.00","$130,201.00",Brian,Bellew,,,,,No,No,,,,,,4/16/03,12/31/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-013,,Utah State University,,Inventory of Prairie Dog Colonies within the Vernal Field Office Boundary,Research,Natural,"$18,170.00","$296,776.00","$314,946.00",Tim,Faircloth,,,,,No,No,,,,,,8/8/03,3/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,jsa001015-014,,Utah State University,,Monitoring & Evaluation of Improvements Found in the Range Improvement Project Systems Database (RIPS Database),Technical Assistance,Interdisciplinary,"$11,615.00","$87,568.00","$99,183.00",Richard,Etchberger,,,,,No,No,,"Project completed, report Not yet available",,,,9/9/03,8/1/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-015,,Utah State University,,"Utah Vegetation Enclosure Database Study, Project Alternative, Addition Southern Utah Enclosures",Technical Assistance,Natural,"$10,000.00","$37,896.00","$47,896.00",John,Bissonette,,,,,Yes,No,,,,,,9/10/03,9/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-016,,Utah State University,Emery County UT,"Soil & Groundwater Contributions to Salinity in the San Rafael River Drainage, Emery County, Utah",Research,Natural,"$25,861.00","$91,141.00","$117,002.00",Janis,Boettinger,,,,,No,No,,project finished No report given,,,,7/1/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-017,,Utah State University,,Utah Plant Information Network II,Technical Assistance,Natural,"$9,000.00","$43,139.00","$52,139.00",Phillip,Dittberner,,,,,No,No,,user guide,,,,9/17/03,12/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-018,,Northern Arizona University,,Paleontologist Proposal,Research,Social,"$65,000.00","$37,890.00","$102,890.00",Fred,Solop,,,,,No,No,,,,,,9/25/03,1/15/08,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001015-018,,Utah State University,Diamond & Cottonwood Watersheds,A PheNological Approach for Post-Fire Monitoring of Semi-Arid Vegetation Rehabilitation Using Remotely Sensed Data,Research,Natural,"$49,561.00","$116,161.69","$165,722.69",Michael,White,,,,,No,No,,final report Not received.  Task order closed out.,,,,9/19/03,12/15/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA001019-001,,Arizona State University,,Sustainable Trail Resource Management: Evaluating the Physical Impacts from Mountain Biking to Determine Best Management Practices,Research,Interdisciplinary,"$10,000.00","$153,168.00","$163,168.00",Neil,Weiner,,,,,No,No,,The original award amount was changed to reflect the initial amount listed on the assistance agreement on 11-07-06 by Theresa Spang,,,,9/25/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA031003-001,,New Mexico State University,Southeast UT| Southern CO,Vegetation & Soil Recovery Timeframes from Disturbance Resulting from Geophysical Exploration in Southeast UT & Southern CO,Research,Natural,"$37,500.00","$243,532.00","$281,032.00",Patricia,Hartell,,,,,No,No,,amounts are difficult to determine because mods do Not include nmsu's contribution. The mods also refer to future dates for funding so it is a bit confusing. TS,,,,6/19/03,5/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA990018-009,,Northern Arizona University,,A Quantative Test of Rangeland Health Soil Stability Indicators,Research,Natural,"$43,175.00","$84,308.00","$127,483.00",Nancy,Johnson,,,,,No,No,,"Mod 6 received 7/07. stated the funding amount was $133,176. Mods 1 and 2 are on file. This mod will only be kept in an electronic file. We don't have the other files electronically.-TS-9/7/07",,,,5/13/03,12/15/08,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,jsa990018-009,,Northern Arizona University,,A Quantitative Test of the Rangeland Health Soil Stability Indicators,,,"$43,175.00","$198,326.00","$241,501.00",Nancy,Johnson,,,,,No,No,,Apparently this project is Not done yet but there have been papers published already on the topic. TS,,,,5/13/03,5/15/08,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA990018-011,,Northern Arizona University,GSENM,Patterns of Biodiversity of Upper Cretaceous Vertebrates,Research,Natural,"$25,000.00","$38,761.00","$63,761.00",David,Gillette,,,,,No,No,,,,,,8/26/03,6/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA990018-012,,Northern Arizona University,AGFR,"Mapping & Survey of Pueblo la Plata (NA11648) Agua Fria National Monument, Arizona",Research,Natural,"$25,000.00","$148,557.00","$173,557.00",Christian,Downum,,,,,No,No,,,,,,9/15/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA990018-013,,Northern Arizona University,,Sustainable Trail Resource Management: Evaluating the Physical Impacts from Mountain Biking to Determine Best Management Practices,Research,Interdisciplinary,"$10,000.00","$163,142.00","$173,142.00",Pam,Foti,,,,,No,No,,,,,,9/23/03,9/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2003,JSA990018-015,,Northern Arizona University,,Partnership Study,Research,Social,"$130,000.00","$199,165.00","$329,165.00",Tony,Mayfield,,,,,No,No,,project closed,,,,9/25/03,1/15/08,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041002-001,,Northern Arizona University,BLM Lands,Inventory of Past Sagebrush Management Treatments,Research,Natural,"$45,000.00","$77,798.00","$122,798.00",Neil,Cobb,,,,,No,No,,,,,,9/14/04,12/31/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041003-004,,Utah State University,Kane County,Color/Country/South Central Valleys Sage-grouse Inventory & Monitoring Study,Research,Natural,"$40,000.00","$63,950.00","$103,950.00",Terry,Messmer,,,,,No,No,,,,,,9/15/04,9/30/09,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041003-005,,Utah State University,UT,Mapping the Distribution of Rare Plants,Research,Natural,"$17,724.00","$66,299.00","$84,023.00",Leila,Schultz,,,,,No,No,,,,,,9/16/04,9/30/07,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041003-006,,Utah State University,UT,Literature Review & AnNotated Bibliography of Mancos Shale Research,Research,Natural,"$25,000.00",$0.00,"$25,000.00",Dave,Chandler,,,,,No,No,,,,,,9/16/04,12/31/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041003-007,,Utah State University,SE Utah,Field Testing of Produced Water for Water for Desert Soil Stabilization,Research,Natural,"$65,000.00",$0.00,"$65,000.00",Dave,Chandler,,,,,No,No,,weblink provided as report.,,,,9/16/04,12/31/07,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041004-001,,Colorado State University,Mesa County CO,Monitoring Saltcedar Biological Control Insectary Establishment in Horsethief Canyon,Research,Natural,"$12,000.00","$38,428.00","$50,428.00",Andrew,Norton,,,,,No,No,,,,,,9/16/04,4/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,JSA041005-001,,New Mexico State University,NM BLM Lands,"New Mexico BLM Heritage Tourism Strategic Plan Proposal

 American Public

 

 Tourism Strategic Plan",Technical Assistance,Cultural,"$14,000.00","$39,120.00","$53,120.00",Dora,Dominguez,,,,,No,No,,,,,,9/23/04,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,jsa990018-010,,Northern Arizona University,GSENM,Backcountry Monitoring (GSENM Year #4),Research,Cultural,"$8,337.00","$176,567.00","$184,904.00",Pam,Foti,,,,,No,No,,"The numbers may Not be perfect on this one regarding funding, but it is the best estimate according to the mods.",,,,8/6/03,3/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2004,NA23,,Northern Arizona University,PARA,Recreation Impact Monitoring System,Research,Cultural,"$5,980.00",$0.00,"$5,980.00",Pam,Foti,,,,,No,No,,,,,,8/1/04,8/31/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA 041003-013,,Utah State University,,A Transparent Remote Sensing Based on Rangelands Monitoring Protocol for Box Elder Country,,,"$52,221.00","$101,112.00","$153,333.00",Douglas,Ramsey,,,,,No,No,,,,,,9/17/05,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041002-003,,Northern Arizona University,,"Yellow-Billed Cuckoo Distribution and Abundance, Habitat Use, and Breeding Ecology",,,"$85,538.00","$38,727.00","$124,265.00",Rod,Parnell,,,,,No,No,,the original award amount was more than the total in the mod - maybe because it was at risk.,,,,8/23/05,4/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041002-005,,Northern Arizona University,,At Risk Paleontological Resources of Vermillion Cliffs National Monument,,,"$10,000.00","$77,857.00","$87,857.00",Jim,Mead,,,,,No,No,,,,,,9/8/05,1/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041002-006,,Northern Arizona University,,BLM Community Focused Stewardship Contracting Multiparty Monitoring and Evaluation Project,,,"$51,000.00","$62,469.76","$113,469.76",Fred,Solop,,,,,No,No,,,,,,9/15/05,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041002-007,,University of Arizona,,Land Health as Impacted by OHV Travel on BLM Roads,,,"$52,960.00","$117,200.00","$170,160.00",Pam,Foti,,,,,No,No,,,,,,9/20/05,12/31/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041002-008,,Northern Arizona University,,Sustainable Trail Resource Management,,,"$27,520.00","$78,012.00","$105,532.00",Pam,Foti,,,,,No,No,,"This projeect was entered by Theresa Spang on June 4, 2007 along with 2 modifications. Final report received. Electronic.",,,,9/20/05,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041003-001,,Utah State University,,Comparing the Effects of Habitat Loss & Fragmentation from Gas & Oil Exploration & Production Activities on Vertebrates Differing by Trophic Level & Life History,Technical Assistance,Natural,"$27,200.00",$0.00,"$27,200.00",Richard,Etchberger,,,,,No,No,,Not an actual report given but a webpage link to information regarding the project. TS,,,,7/7/04,6/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041003-002,,Utah State University,Eastern WA,Bat Roost & Foraging Habitat Inventory,Research,Natural,"$30,691.00","$162,785.00","$193,476.00",Daniel,Rosenberg,,,,,No,No,,this funding amount does Not match BLM's records exactly - but close! TS.link to website provided for final report,,,,7/30/04,3/31/07,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041003-003,,Utah State University,Cockleburr & W. Brush Creek,Monitoring for Emerging Impacts,Research,Natural,"$25,000.00","$77,456.00","$102,456.00",Richard,Etchberger,,,,,No,No,,"mod 1 Not present, numbers may be different. TS",,,,8/2/04,9/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041003-008,,Utah State University,Parker Mountain UT,Sage Grouse & Rangeland Vegetation Responses to Sagebrush Removal on the Park Mountain,Research,Natural,"$15,000.00","$69,183.00","$84,183.00",Terry,Messmer,,,,,No,No,,According to BLM the funding is much lower than listed here. TS,,,,10/1/04,9/30/08,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041003-009,,Utah State University,,Support of Tehabi Internships in the Colorado Plateau CESU,,,"$6,500.00","$38,792.00","$45,292.00",Mark,Brunson,,,,,No,No,,,,,,3/11/05,12/1/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041003-011,,Utah State University,,Survey of Fleas and their Small Mammal Hosts in Association with Yersinia Pestis in North Eastern Utah,,,"$5,000.00","$98,139.00","$103,139.00",Lianna,Etchberger,,,,,No,No,,,,,,9/15/05,12/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041003-012,,Utah State University,,Digital Soil Mapping of Utah Public Lands,,,"$50,000.00","$196,243.00","$246,243.00",Janis,Boettinger,,,,,No,No,,,,,,9/2/05,12/31/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041003-013,,Utah State University,,A Transparent Remote Sensing Based Rangelands Monitoring Protocol for Box Elder County,,,"$52,221.00",$0.00,"$52,221.00",,,,,,,No,No,,,,,,9/30/05,9/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041005-010,,Utah State University,,Black Footed Ferret Proposal,,,"$10,000.00",$0.00,"$10,000.00",Richard,Etchberger,,,,,No,No,,Entered by Theresa Spang 6/4/07,,,,9/19/05,6/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041006-002,,Arizona State University,,Legacies on the Land: Interdisciplinary Research Projects,Research,Interdisciplinary,"$23,500.00","$113,079.00","$136,579.00",Katherine,Spielman,,,,,No,No,,project file entered 6/4/07. updated 9-12-07 to reflect match amount. TS,,,,8/25/05,6/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,jsa041006-013,,Arizona State University,,Managing and Marketing Public Lands for Explicitly Stated Benefits: A Case Study of McInnis Canyons National Conservation Area,,,"$4,000.00",$0.00,"$4,000.00",Randy,Virden,,,,,No,No,,Entered by Theresa Spang 6/4/07,,,,9/6/05,6/30/06,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,JSA041008-001,,Fort Lewis College,San Juan County NM,Effects of Gas Well Compressor Noise on Nesting Success of Birds in the Rattlesnake Cyn. Habitat Mgmt. Area,Research,Natural,"$59,658.00","$156,855.00","$216,513.00",John,Hansen,,,,,No,No,,,,,,7/15/04,9/30/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2005,L08AC13318,jsa041002-004,Northern Arizona University,,Comprehensive Recreation Impact Monitoring Proposal,Research,Interdisciplinary,"$88,813.00","$365,283.00","$454,096.00",Pam,Foti,,,,,No,No,,,,,,4/1/10,6/30/11,,,,,,,,
