Federal Partner,FY,J Number,Award Number,Continuation of,Partner,Park/Location,Project Title,Key Official (last),Key Official (first),Investigator-L,Investigator-F,Start Date,Stop Date,Project Discipline,Partner Award,Match Amount,Award Amount,Current Funding Amount,Original Award Total,Annual Research & Design Rpt Code,CA Account Number,Account Number,Area/Org,Ext 1,Ext 2,Ext 3,PWE,Description,Fund Source,Project Product,Received,Sent to TIC,Notes,Electronic Version Received,Mod .1 Date,Mod .1 Amount,mod 1 match,Mod .1 Notes,Mod .2 Date,Mod .2 Amount,mod 2 match,Mod .2 Notes,Mod .3 Date,Mod .3 Amount,mod 3 match,Mod .3 Notes,Mod .4 Date,Mod .4 Amount,mod 4 match,Mod .4 Notes,Mod .5 Date,Mod .5 Amount,mod 5 match,Mod .5 Notes,Mod .6 Date,Mod .6 Amount,mod 6 match,Mod .6 Notes,Project Type,project supported students,Student Status,Sensitive Data,Funding Amount,NPS Closed,Principle Investigator Name,Key Official Name
National Park Service (NPS),2003,,NMSU-005,,New Mexico State University (NMSU),,Determining movement routes of Rocky Mountain bighorn sheep to and from  Sheep Lakes mineral site,,,Bender,Louis,2003-05-15 00:00,2005-03-01 00:00,,"$23,000.00 ",$0.00 ,$0.00 ,"$23,000.00 ",$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Louis Bender,Terry Terrell
United States Department of Agriculture - Natural Resources Conservation Service (USDA-NRCS),2005,,68-3A75-4-155,,Northern Arizona University (NAU),,NRCS Support for CPCESU,,,Hiebert,Ron,2004-06-18 00:00,2009-06-19 00:00,,,,"$10,000.00 ","$10,000.00 ","$10,000.00 ",0,68-3A75-4-155,,CSE34CK,2010-12-01 00:00,2009-06-19 00:00,,,,,,,,"No award number assigned.
This project is the joining fee associated with being a member of CESU.",0,,$0.00 ,$0.00 ,,2007-01-10 00:00,$0.00 ,$0.00 ,Change in PI from Rod Parnell to Dave Ostergren,2008-07-15 00:00,$0.00 ,$0.00 ,"Change in PI from David Ostergren to new CPCESU Director, Ron Hiebert.",2009-03-23 00:00,$0.00 ,$0.00 ,"Corrects both the project & budget periods to that of the original 5 year CPCESU agreement.
New end date is 06/19/2009.",2009-03-30 00:00,$0.00 ,$0.00 ,Reallocation of $280.87 from employee expenses.,,$0.00 ,$0.00 ,,,0,,0,,0,Ron Hiebert,
United States Department of Agriculture - Natural Resources Conservation Service (USDA-NRCS),2006,,060702T63,,Utah State University (USU),,"Enhancing the Pedogenic Understanding Raster Classification (PURC) Methodology and Maps: Arches, ASTER, and Attitudes",,,Boettinger,Janis,2006-09-01 00:00,2008-09-30 00:00,,"$29,357.00 ",$0.00 ,"$98,099.00 ","$98,099.00 ","$29,357.00 ",0,68-3A75-4-155,,,,,,,,,,,,Only have Mod 2 & 3 on file. No activation form.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,"Increased funding to $98,099.00.",,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Janis Boettinger,
Bureau of Reclamation (BOR),2008,,08FC300011,,Northern Arizona University (NAU),,Assessing Real and Potential Nest Predation of Passerine Birds Along the Lower Colorado River,,,Theimer,Tad,2008-03-03 00:00,2011-09-30 00:00,,,,"$260,135.00 ","$260,135.00 ","$125,231.00 ",0,,,BIO35WS,,,,,,,Final report,,,Extension on 1/31/2011,0,2008-03-07 00:00,$0.00 ,$0.00 ,Changed project start date to 3/3/2008.,,$0.00 ,$0.00 ,missing,2009-04-10 00:00,"$200,115.00 ","$35,020.00 ","Increased funding to $235,135.00.",2009-05-07 00:00,$0.00 ,$0.00 ,This is a budget reallocation per the attached OPAS.,2010-04-21 00:00,$0.00 ,$0.00 ,project period extension.,2010-09-29 00:00,"$25,000.00 ",$0.00 ,Increase in budget.,,0,,0,,0,Theimer,
Army Corps of Engineers (ARMY COE),2017,,W9132T-17-2-0011,,Colorado State University (CSU),,"Multi-model Calibration, Verification, and Visualization for
Complex Urban Environments",Burkhalter,Jeffrey,Olaf,David,2017-06-28 00:00,2019-06-28 00:00,,"$30,000.00 ",$0.00 ,$0.00 ,"$130,000.00 ","$30,000.00 ",0,,W9132T-17-2-0011,,,,,,,,,,,,0,2017-10-25 00:00,"$100,000.00 ",$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research/Technical Support,0,,0,,0,David Olaf,Jeffrey Burkhalter
United States Geological Survey (USGS),2017,,G17AC00401,,Utah State University (USU),,A Retrospective Look at the Physiological Stress Response of Southern Beaufort Sea Polar Bears,,,French,Susannah,2017-09-01 00:00,2018-08-31 00:00,,"$48,999.00 ",$0.00 ,"$48,999.00 ","$48,999.00 ","$48,999.00 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,Undergrad,0,,0,Susannah French,Sherii Bredesen
United States Geological Survey (USGS),2017,,G17AC00422,,New Mexico State University (NMSU),,Digital Soil Mapping:  Developing New Tools for Colorado Plateau Land Management,,,,,2017-09-15 00:00,2018-09-14 00:00,,"$10,000.00 ",$0.00 ,"$10,000.00 ","$10,000.00 ","$10,000.00 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
United States Geological Survey (USGS),2017,,G17AC00034,,Arizona State University (ASU),,Analyses of Data Related to Gene Expression (RNA-seq) in the Mojave Desert Tortoise and other Wildlife,,,,,2016-12-19 00:00,2018-05-01 00:00,,"$33,374.70 ",$0.00 ,"$33,374.70 ","$33,374.70 ","$33,374.70 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
Army Corps of Engineers (ARMY COE),2017,,W9132T-17-2-0005,,Colorado State University (CSU),,"Developing a Holistic Modeling Infrastructure System for Multi-
Model Interoperability for Complex Urban Environments",Burkhalter,Jeffrey,Olaf,David,2017-01-09 00:00,2018-01-09 00:00,,"$100,000.00 ",$0.00 ,"$100,000.00 ","$100,000.00 ",$0.00 ,0,,W9132T-17-2-0005,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research/Technical Support,0,,0,,0,David Olaf,Jeffrey Burkhalter
United States Geological Survey (USGS),2016,,G16AC00280,,Northern Arizona University (NAU),,Remote Sensing of Alluvial Sandbar Dynamics in Grand Canyon,,,Sankey,Temuulen,2016-08-01 00:00,2018-08-31 00:00,,"$41,699.00 ",$0.00 ,"$41,699.00 ","$41,699.00 ","$41,699.00 ",0,,G16AC00280,SICCS-1003066,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,1,Grad,0,,0,Temuulen Sankey,Paul Grams
National Park Service (NPS),2017,P17AC01702,P17AC01702,,Southern Utah University (SUU),CEBR,Intergovernmental Internship Cooperative (IIC) Youth Partnership Project 2017 at Cedar Breaks National Monument (CEBR),Axel,Jeff,Eastep,Briget,2017-09-15 00:00,2022-08-31 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$211,040.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Educational,1,,0,"$211,040.00 ",0,Briget Eastep,Jeff Axel
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0031,,Arizona State University (ASU),,ASU Wildland Fire Support at Camp Pendleton,,,Franklin,Janet,,,,$0.00 ,$0.00 ,"$18,000.00 ","$18,000.00 ","$18,000.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Janet Franklin,
Bureau of Land Management (BLM),2011,,L10AC20147,,Colorado State University (CSU),McInnis Canyons NRA,BLM-CO-MCNCA Undergraduate Intern NLCS Monitoring and Research,,,Brown,Mark,2010-05-24 00:00,2015-06-12 00:00,,$0.00 ,$0.00 ,"$6,600.00 ","$6,600.00 ","$6,600.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,1,,0,,0,Mark Brown,
United States Department of Agriculture - Natural Resources Conservation Service (USDA-NRCS),2011,,68-7482-10-515,,Colorado State University (CSU),,COMET-Farm,,,Paustian,Keith,2010-09-01 00:00,2012-08-31 00:00,,$0.00 ,$0.00 ,"$293,183.00 ","$548,980.00 ","$293,183.00 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Keith Paustian,
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0001,,Colorado State University (CSU),,Integrated Natural Resources Management Plan Support at Fork Polk,,,Borzka,Bob,,,,$0.00 ,$0.00 ,"$318,596.26 ","$318,596.26 ","$318,596.26 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Bob Borzka,
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0002,,Colorado State University (CSU),,Endangered Species Management Support for Fort Polk,,,Borzka,Bob,,,,$0.00 ,$0.00 ,"$325,142.18 ","$325,142.18 ","$325,142.18 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0003,,Colorado State University (CSU),,Environmental Analysis and Advisory Services Management Support for Fort Polk,,,Borzka,Bob,,,,$0.00 ,$0.00 ,"$288,195.48 ","$288,195.48 ","$288,195.48 ",,,,,,,,,,,,,,There is no electronic file for this project,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
Army Corps of Engineers (ARMY COE),2011,,W9126G-10-2-0004,,Colorado State University (CSU),,Manuever Damage Coordinator Support for Port Folk,,,Borzka,Bob,,,,$0.00 ,$0.00 ,"$119,550.38 ","$119,550.38 ","$119,550.38 ",0,,,,,,,,,,,,,There is no electronic file for this project.,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
National Park Service (NPS),2017,P17AC00244,P17AC00244,,Northern Arizona University (NAU),GRCA,Hydrologic Assessment of Grand Canyon National Park�s Source Water and Associated Groundwater Monitoring and Modeling,Newton,Ronda,Springer,Abe,2017-04-19 00:00,2019-03-31 00:00,Natural,$0.00 ,$0.00 ,"$182,354.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,"$182,354.00 ",0,Abe Springer,Ronda Newton
National Park Service (NPS),2017,P17AC01413,P17AC01413,,University of Arizona (UAZ),FLAG,"Conduct Ethnographic Overview and Assessment (EOA) at the Flagstaff Area National Monuments (Sunset Crater Volcano, Walnut Canyon, and Wupatki National Monuments)",Gallenstein,Gwenn,Ferguson,T.J.,2017-08-01 00:00,2021-08-01 00:00,Cultural,$0.00 ,$0.00 ,"$161,542.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,1,"$161,542.00 ",0,T.J. Ferguson,Gwenn Gallenstein
National Park Service (NPS),2017,P17AC00105,P17AC00105,,University of Arizona (UAZ),"WACC, LIBI",Perform Exhibit Conservation for Little Bighorn Battlefield National Monument,Creasman,Pearce Paul,Rodeffer,Tef,2016-12-30 00:00,2021-06-01 00:00,Cultural,$0.00 ,$0.00 ,"$153,170.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,1,"$153,170.00 ",0,Pearce Paul Creasman,Tef Rodeffer
National Park Service (NPS),2017,P17AC00456,P17AC00456,,Northern Arizona University (NAU),SCPN,Field Ecology and Technical Support for Long-term Monitoring in National Parks of the Southern Colorado Plateau Network � 2017,Swan,Megan,Allen,James,2017-08-23 00:00,2019-05-15 00:00,Natural,$0.00 ,$0.00 ,"$151,394.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,"$151,394.00 ",0,James Allen,Megan Swan
National Park Service (NPS),2017,P17AC00296,P17AC00296,,Museum of Northern Arizona (MNA),WHSA,Comprehensive Agreement for Inadvertent Discoveries Under NAGPRA,Bustos,David,Spurr,Kim,2017-04-03 00:00,2018-08-30 00:00,Cultural,$0.00 ,$0.00 ,"$108,491.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,0,,1,"$108,491.00 ",0,Kim Spurr,David Bustos
National Park Service (NPS),2017,P17AC01315,P17AC01315,,University of Texas at San Antonio (UTSA),SAAN,Comprehensive Agreement for Inadvertent Discoveries Under NAGPRA,Snow,Susan,Dupont,William,2017-08-15 00:00,2018-09-30 00:00,Cultural,$0.00 ,$0.00 ,"$99,932.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,0,"$99,932.00 ",0,William Duport,Susan Snow
National Park Service (NPS),2017,P17AC00055,P17AC00055,,University of Arizona (UAZ),WACC,Prepare Archives Repository Guide for the Western Archeological and Conservation Center,Saba,Khaleel,Fulton,Bruce,2016-12-01 00:00,2020-01-31 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$99,639.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,0,"$99,639.00 ",0,Bruce Fulton,Khaleel Saba
National Park Service (NPS),2017,P17AC00945,P17AC00945,,Museum of Northern Arizona (MNA),GLCA,Lakeshore Archeological Site Condition Assessment,Hyde,Ken,Spurr,Kim,2017-07-25 00:00,2019-09-30 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$99,500.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,1,"$99,500.00 ",0,Kim Spurr,Ken Hyde
National Park Service (NPS),2017,P17AC01224,P17AC01224,,University of Arizona (UAZ),"WACC, GUMO, CACH, PAIS",Conserve Archeology Collections ,Rodeffer,Tef,Paul Creasman,Pearce,2017-08-15 00:00,2021-08-31 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$99,500.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Educational,1,,1,"$99,500.00 ",0,Pearce Paul Creasman,Tef Rodeffer
National Park Service (NPS),2017,P17AC01566,P17AC01566,,Southern Utah University (SUU),BRCA,Intergovernmental Internship Cooperative (IIC) Youth Partnership Project 2017 at Bryce Canyon National Park (BRCA),Axel,Jeff,Eastep,Briget,2017-09-01 00:00,2022-08-31 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$98,982.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Educational,1,,0,"$98,982.00 ",0,Briget Eastep,Jeff Axel
National Park Service (NPS),2017,P17AC01568,P17AC01568,,Southern Utah University (SUU),ZION,Intergovernmental Internship Cooperative (IIC) Youth Partnership Project 2017 at Zion National Park (ZION),Axel,Jeff,Eastep,Briget,2017-09-01 00:00,2022-08-31 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$98,956.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Educational,1,,0,"$98,956.00 ",0,Briget Eastep,Jeff Axel
National Park Service (NPS),2017,P17AC01218,P17AC01218,,Colorado State University (CSU),FMPC,Budget Roll Up and Allocation- Park to Region to National,Williams,Sheila,Rideout,Douglas,2017-09-30 00:00,2021-09-30 00:00,Interdisciplinary,$0.00 ,$0.00 ,"$98,004.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,"$98,004.00 ",0,Douglas Rideout,Sheila Williams
National Park Service (NPS),2017,P17AC01378,P17AC01378,,Archaeology Southwest (ASW) (Formerly The Center for Desert Archaeology),GLCA,Lake Canyon Grazing Allotment Archeological Site Condition Assessment,Hyde,Ken,Doelle,William,2017-08-24 00:00,2019-09-30 00:00,Interdisciplinary,,$0.00 ,"$98,000.00 ",$0.00 ,$0.00 ,0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Technical Assistance,1,,1,"$98,000.00 ",0,William Doelle,Ken Hyde
